price,units_sold,discount,competitor_price,marketing_spend,season,region
153,137,20,138,2200,Winter,North
84,225,9,77,6355,Winter,East
150,107,3,152,2116,Festival,West
180,125,4,175,7344,Summer,South
50,219,4,54,6930,Summer,South
54,183,10,72,2058,Festival,North
191,149,8,172,8284,Festival,East
152,165,27,169,1687,Summer,East
76,225,15,94,6577,Winter,West
186,141,8,199,6590,Winter,South
64,280,21,83,9152,Festival,South
139,216,29,143,8063,Festival,North
91,236,3,106,9979,Summer,West
173,173,1,168,9395,Summer,South
112,170,13,109,3491,Summer,West
145,154,2,137,5822,Summer,East
101,236,17,117,8004,Festival,West
145,207,20,151,8011,Festival,West
181,124,5,194,6700,Summer,North
192,129,10,182,5862,Festival,North
78,226,20,58,6350,Festival,East
85,183,17,77,1355,Summer,East
62,230,11,71,4472,Winter,West
120,224,4,104,9432,Winter,South
135,184,8,132,8710,Summer,West
77,278,19,70,9812,Winter,East
115,173,27,107,1854,Festival,North
94,249,25,105,7363,Winter,North
111,241,17,97,7704,Summer,East
183,144,18,170,4624,Summer,West
77,200,2,63,6446,Winter,South
77,243,8,72,9573,Winter,North
157,150,3,167,7031,Festival,West
93,230,16,99,7182,Winter,South
133,148,16,145,2132,Winter,East
79,200,22,87,3476,Winter,West
124,206,22,111,4135,Festival,South
177,112,1,189,3079,Winter,West
141,127,8,139,1944,Festival,North
178,133,8,178,6840,Festival,East
170,115,4,170,4962,Summer,North
76,234,14,80,7674,Summer,North
170,100,14,172,1834,Festival,West
165,113,2,155,4750,Festival,East
52,250,18,64,5184,Festival,West
152,215,27,151,8178,Summer,South
186,132,2,190,6168,Festival,East
111,165,5,116,5991,Summer,North
100,208,3,119,9146,Summer,North
108,202,23,99,6290,Festival,North
167,144,12,178,5238,Festival,West
145,245,26,157,9398,Festival,West
162,181,12,151,9165,Summer,West
111,222,26,94,4534,Winter,East
101,176,10,95,3052,Festival,East
61,259,4,46,9151,Winter,East
88,145,0,94,1028,Winter,East
179,184,8,163,9379,Winter,South
180,114,16,164,2860,Winter,North
162,208,21,159,8934,Winter,West
150,134,0,157,3572,Summer,West
162,154,2,176,9051,Summer,South
130,193,14,131,7128,Summer,North
162,176,25,175,5014,Winter,North
51,243,20,34,5252,Summer,South
179,129,25,176,3127,Festival,East
103,218,22,108,3707,Winter,North
136,169,29,137,2813,Festival,East
178,160,9,190,8816,Winter,South
196,152,7,189,9351,Winter,West
175,181,11,185,9535,Winter,West
179,193,24,168,9396,Winter,West
102,253,21,105,9496,Festival,West
117,220,14,117,9591,Winter,North
172,181,26,159,7249,Winter,East
194,142,8,205,7485,Summer,West
87,213,23,97,2805,Winter,West
73,260,24,86,6047,Winter,West
118,188,9,120,6540,Winter,South
165,134,19,169,3096,Winter,North
147,148,8,133,6337,Winter,South
188,98,14,186,2459,Winter,East
193,170,22,179,7934,Festival,West
146,228,20,133,9422,Festival,North
173,130,20,166,4782,Winter,North
119,146,0,99,4500,Festival,North
142,131,1,134,6605,Summer,South
52,266,25,34,7419,Summer,South
197,187,18,204,9624,Winter,South
196,177,29,213,8889,Winter,South
139,178,13,133,6238,Festival,East
196,95,7,211,2817,Summer,West
197,133,5,179,8570,Winter,West
145,154,11,128,6103,Summer,South
101,186,25,85,1617,Festival,South
177,221,26,182,9509,Winter,South
88,268,28,92,7285,Winter,East
131,135,14,120,1456,Winter,East
153,113,13,140,1500,Summer,North
178,199,20,169,9074,Festival,West
60,226,28,42,3315,Summer,South
91,185,0,97,4874,Summer,North
148,206,27,150,7630,Winter,West
56,220,10,75,5973,Festival,North
193,139,27,205,5774,Festival,East
139,173,24,132,2003,Winter,East
161,151,2,163,7848,Festival,North
109,191,18,119,5196,Winter,North
162,181,17,154,7715,Winter,West
51,212,19,42,2066,Festival,South
178,163,27,192,5716,Festival,West
97,195,1,94,7608,Festival,West
189,147,28,189,4234,Festival,East
86,261,24,66,7494,Summer,East
58,247,27,75,5498,Winter,North
148,207,25,136,6267,Winter,East
196,117,6,198,7171,Winter,West
97,229,7,90,9095,Winter,North
180,138,18,170,4669,Summer,North
197,133,21,183,5715,Festival,East
103,227,14,113,7069,Festival,South
169,104,9,172,2961,Festival,East
165,142,21,170,1875,Winter,North
124,260,28,133,9734,Summer,North
162,108,0,175,4516,Summer,South
153,124,5,170,4865,Festival,West
133,183,12,117,5499,Winter,North
161,168,13,145,8233,Festival,South
148,153,2,146,6947,Winter,West
142,129,10,159,1574,Festival,East
195,77,2,202,2458,Festival,South
177,176,18,182,8395,Summer,West
159,125,9,161,4172,Winter,North
131,189,26,140,3470,Summer,North
103,171,14,85,4427,Summer,South
117,216,10,124,8798,Festival,East
82,236,14,94,8736,Winter,South
191,140,25,173,5206,Winter,North
70,231,26,54,3200,Festival,West
97,200,23,95,3964,Festival,East
197,157,12,177,7905,Festival,West
177,116,4,194,4313,Winter,South
185,90,3,173,3927,Festival,South
184,173,12,168,9873,Festival,West
194,144,8,207,9470,Summer,West
177,165,24,193,5458,Festival,West
82,208,16,94,2648,Festival,South
164,124,1,168,6527,Winter,West
168,205,23,176,9184,Festival,North
71,187,4,75,3341,Winter,West
87,173,15,75,2518,Summer,North
158,103,6,140,2838,Summer,North
100,120,0,94,1870,Winter,West
57,279,27,40,6538,Festival,East
76,250,25,93,6477,Winter,East
76,175,11,75,2128,Festival,East
70,279,20,72,7499,Festival,North
79,161,10,95,2284,Festival,East
146,215,11,133,9762,Winter,East
77,191,18,93,3864,Summer,West
160,187,25,172,7045,Winter,South
110,146,11,122,2977,Festival,North
97,232,11,83,9638,Winter,South
196,124,13,197,6039,Summer,North
53,232,1,37,8039,Winter,North
84,235,1,78,9828,Summer,East
98,218,24,98,3973,Summer,West
66,258,28,70,5626,Festival,South
95,144,3,91,1118,Summer,South
166,210,19,152,8999,Winter,East
55,225,22,53,3292,Winter,South
148,171,25,134,3104,Festival,South
173,137,15,192,2067,Winter,North
86,181,9,89,1423,Festival,West
73,230,12,63,4819,Winter,West
142,182,1,122,8703,Winter,South
95,162,2,106,2280,Summer,South
144,160,18,163,4432,Summer,North
148,108,5,129,1762,Summer,East
165,128,18,159,2629,Winter,North
116,217,26,116,6499,Festival,East
177,196,20,180,9634,Festival,East
67,219,19,63,4014,Festival,North
74,202,18,62,2497,Summer,West
103,210,7,117,9280,Winter,North
107,231,13,106,9653,Summer,East
116,183,9,114,4552,Winter,West
153,169,2,150,8637,Winter,West
73,260,5,72,9571,Winter,North
163,174,28,172,5496,Summer,West
81,217,14,100,5646,Winter,West
135,177,22,115,3983,Summer,North
176,141,22,179,4060,Summer,South
179,165,17,182,8834,Winter,West
66,256,13,64,7804,Winter,North
153,188,18,162,8510,Winter,North
186,144,27,191,3950,Summer,South
92,210,25,109,5540,Winter,West
88,225,9,96,8418,Winter,East
75,237,14,67,7063,Festival,East
148,179,3,131,8661,Festival,West
99,196,22,95,4421,Festival,West
62,173,1,74,2990,Winter,North
109,183,2,93,4856,Summer,North
184,109,6,191,2482,Festival,East
106,199,22,109,3545,Summer,West
85,226,15,81,5220,Festival,North
69,175,9,87,1642,Festival,East
114,200,18,133,4918,Summer,East
57,240,27,47,2586,Festival,South
193,102,16,184,3409,Summer,West
191,178,27,183,7504,Winter,South
164,112,18,151,1054,Winter,North
192,76,4,172,1841,Summer,North
141,205,22,129,7928,Summer,East
147,161,19,154,5587,Winter,North
115,171,12,96,3906,Summer,South
81,228,12,74,6088,Winter,West
135,180,10,127,6056,Winter,East
100,192,10,81,6982,Summer,East
112,174,15,95,3272,Festival,North
174,167,14,165,7141,Summer,East
199,164,16,188,9015,Winter,East
107,257,21,89,9294,Festival,West
107,155,17,90,2071,Festival,East
135,151,27,120,1736,Winter,West
98,237,18,100,7376,Festival,South
119,194,3,103,8749,Festival,East
64,248,21,46,4630,Summer,South
103,174,21,92,1227,Winter,West
150,191,22,148,7665,Festival,East
57,220,4,50,6711,Winter,North
102,183,6,102,7156,Summer,North
109,167,1,116,4570,Summer,East
157,169,0,157,9636,Summer,West
54,277,11,69,8993,Festival,North
152,125,9,155,2619,Summer,South
55,203,7,72,3204,Winter,West
158,118,0,154,3703,Summer,West
165,176,11,166,8742,Festival,East
143,170,1,141,8574,Summer,South
96,193,26,85,1797,Festival,West
148,184,27,138,3999,Winter,East
104,163,9,121,3764,Summer,South
101,217,21,82,4684,Summer,West
193,170,16,205,9199,Winter,North
62,268,25,72,7239,Winter,South
163,124,2,177,4874,Festival,West
173,128,6,189,4329,Summer,South
155,180,11,170,7069,Summer,North
196,126,7,198,6584,Summer,West
194,187,19,209,9805,Summer,North
169,186,11,188,9880,Winter,East
112,201,2,130,9301,Summer,East
68,203,16,73,2160,Summer,West
141,182,27,145,4610,Summer,West
107,177,8,103,5744,Festival,South
139,185,9,133,8331,Festival,West
166,122,21,182,3003,Festival,East
111,199,5,94,9035,Winter,West
72,235,24,73,2527,Winter,South
176,153,0,172,8318,Winter,East
186,173,21,187,8234,Summer,West
189,137,11,185,6169,Summer,North
178,112,4,171,5610,Winter,North
107,222,12,100,7721,Festival,North
171,214,26,167,9697,Summer,North
50,233,14,37,5250,Festival,South
83,248,21,96,7626,Summer,North
145,176,29,150,3855,Summer,North
175,138,10,184,4964,Festival,West
167,168,7,168,8935,Winter,North
97,141,4,92,2674,Festival,North
138,121,1,147,3392,Winter,West
166,160,11,161,7878,Winter,East
178,126,27,195,2921,Summer,South
65,196,1,68,5433,Summer,South
118,162,25,133,2827,Summer,East
71,181,15,85,1716,Winter,West
142,144,20,127,1630,Winter,East
125,167,2,108,5860,Festival,South
193,161,9,190,9276,Summer,South
135,185,18,120,4768,Summer,East
78,262,7,83,9928,Winter,North
118,144,6,134,3707,Summer,South
96,203,0,102,9418,Winter,East
143,151,11,133,4357,Festival,North
193,195,28,210,8860,Festival,North
134,190,27,129,5204,Summer,West
88,192,4,86,5230,Festival,East
149,189,15,143,6033,Summer,South
82,222,24,87,5386,Summer,West
150,177,3,160,9157,Winter,South
72,271,16,70,8675,Winter,North
59,225,23,62,2867,Summer,East
118,229,20,106,7965,Festival,North
149,173,1,151,8196,Festival,North
83,162,11,66,1026,Summer,North
187,111,0,176,7156,Summer,East
196,176,29,184,7588,Festival,West
145,162,11,143,6767,Festival,South
50,191,11,44,1466,Winter,North
118,218,11,131,8689,Winter,South
53,232,18,51,3700,Festival,South
65,304,24,65,9809,Winter,West
73,223,16,86,4777,Winter,East
129,163,19,125,3687,Summer,South
51,258,23,48,6332,Winter,West
177,188,23,173,7806,Winter,South
133,206,25,114,6056,Summer,North
189,112,27,169,1179,Festival,West
173,174,10,162,8996,Winter,East
82,215,12,98,6464,Winter,East
150,184,26,134,7720,Festival,North
61,194,7,52,1921,Winter,North
116,172,9,131,4092,Festival,South
114,187,7,124,6527,Summer,West
123,215,19,140,8465,Festival,West
92,175,7,80,3719,Festival,West
93,215,8,98,9113,Festival,West
78,162,6,72,1151,Summer,South
190,146,13,185,9204,Festival,West
61,305,27,53,9906,Festival,West
144,125,1,148,4625,Summer,East
95,264,24,104,9440,Winter,East
179,86,10,165,2144,Winter,South
84,216,7,67,5482,Festival,North
130,178,12,149,5534,Summer,East
139,139,20,156,1720,Summer,North
57,236,14,66,5568,Festival,South
142,198,27,131,4229,Festival,East
139,103,2,148,2006,Winter,East
164,158,22,182,5728,Winter,South
154,172,13,140,8099,Festival,West
184,185,29,199,8116,Summer,South
107,205,14,121,4813,Festival,North
163,81,1,166,1537,Summer,North
124,189,28,142,3685,Winter,West
169,132,18,184,2980,Festival,South
70,234,11,69,6906,Summer,South
187,123,24,198,1539,Winter,West
150,206,19,168,8046,Festival,South
148,173,3,153,8261,Festival,East
85,230,2,90,9675,Winter,South
145,174,4,160,7300,Festival,East
86,137,2,100,1051,Winter,South
61,285,24,75,9434,Summer,East
162,121,14,153,2686,Festival,North
62,236,18,74,3821,Winter,West
72,211,1,87,7563,Winter,North
148,188,11,141,9120,Summer,East
154,177,4,166,9096,Festival,West
79,274,21,82,9616,Winter,North
66,274,16,60,9886,Winter,North
162,196,13,172,9545,Winter,East
111,207,27,107,4690,Festival,South
133,183,26,124,2689,Festival,South
161,210,21,162,9484,Summer,East
135,137,9,137,1716,Summer,North
190,126,2,195,8283,Summer,South
68,205,3,61,5575,Festival,South
149,127,5,140,5572,Winter,North
189,124,23,172,1637,Festival,East
196,203,24,188,8979,Festival,East
125,188,21,122,4948,Festival,South
58,286,15,65,9881,Summer,East
77,217,6,94,6550,Winter,North
177,172,14,175,9903,Festival,East
101,285,29,118,9630,Summer,West
132,175,20,114,4341,Festival,East
160,175,29,158,6550,Winter,East
193,144,27,192,5238,Summer,East
166,129,24,170,2783,Festival,West
118,169,19,108,2488,Summer,North
148,214,25,144,8160,Winter,East
189,95,10,203,1467,Winter,South
74,266,21,67,6583,Summer,East
172,145,20,190,2417,Festival,West
102,177,0,100,6905,Winter,West
193,87,4,175,2776,Winter,South
106,167,12,119,2081,Festival,West
88,203,20,89,3925,Summer,West
158,153,13,175,5084,Summer,West
91,233,8,97,8628,Festival,North
191,146,16,191,7195,Winter,West
171,124,14,181,2011,Winter,East
182,185,20,188,8902,Festival,South
124,129,6,140,1813,Festival,East
195,96,26,176,1272,Summer,East
125,199,21,113,4644,Summer,South
58,223,21,56,2716,Festival,North
123,197,11,138,7276,Winter,North
194,152,22,183,7232,Summer,West
56,252,5,75,7828,Festival,North
190,90,20,208,1356,Winter,North
186,71,15,172,1203,Summer,West
76,229,25,59,4745,Festival,North
171,100,4,165,2596,Festival,North
54,252,8,45,7614,Winter,West
78,179,13,63,1496,Winter,East
132,117,7,120,1062,Festival,East
185,105,13,199,2579,Winter,South
158,221,11,145,9731,Festival,North
114,182,9,100,5293,Winter,West
135,204,29,118,5876,Winter,West
194,170,19,186,8850,Summer,North
120,191,19,118,5125,Summer,North
94,212,25,80,3713,Winter,West
181,149,20,170,6328,Festival,West
85,252,12,89,8887,Winter,West
119,207,28,133,4379,Summer,South
68,199,18,72,2598,Festival,East
157,198,14,165,8633,Winter,West
140,124,7,131,4178,Winter,East
139,244,22,158,9044,Winter,North
68,265,20,59,6113,Winter,East
88,208,9,73,4372,Summer,East
175,136,2,164,7763,Summer,East
190,111,20,171,2069,Summer,North
175,95,2,179,3776,Summer,East
107,190,25,93,2192,Festival,East
197,68,4,216,1813,Festival,South
110,158,15,112,2152,Festival,North
176,154,16,166,6832,Winter,East
154,116,5,169,2883,Festival,North
50,252,25,52,1267,Summer,West
180,153,19,166,4671,Summer,East
141,164,19,147,3812,Winter,North
162,174,15,154,7562,Festival,East
105,248,23,101,8013,Winter,East
166,124,1,177,6177,Winter,West
183,140,19,188,5085,Festival,South
107,136,14,108,1383,Winter,North
93,199,17,85,3850,Festival,East
110,190,0,101,7721,Festival,West
96,248,25,82,8083,Winter,West
198,122,28,178,2049,Summer,South
129,182,28,141,2833,Festival,South
167,196,18,160,9989,Summer,West
196,128,11,192,5467,Summer,West
69,196,7,52,3975,Festival,North
195,105,5,213,6155,Summer,North
96,214,11,76,8698,Winter,West
98,237,6,101,9000,Winter,West
63,207,17,76,2290,Summer,South
192,178,21,205,8961,Winter,North
50,271,13,53,8599,Festival,West
166,175,7,160,8186,Festival,North
103,250,23,99,8506,Summer,North
167,151,19,159,3187,Winter,West
52,294,21,38,9258,Summer,West
193,132,13,181,8791,Winter,East
61,249,4,75,7770,Festival,North
123,218,8,125,9770,Winter,North
65,246,7,83,8934,Winter,South
151,104,1,153,2605,Summer,South
166,207,27,171,8987,Festival,South
57,253,15,37,8165,Winter,North
171,166,12,164,7054,Festival,West
141,149,6,152,5505,Winter,West
139,192,15,128,8247,Festival,West
185,175,6,165,6807,Winter,North
109,225,26,93,7256,Festival,West
77,254,13,59,9051,Winter,South
150,135,13,156,5284,Festival,West
90,194,11,91,3154,Winter,West
194,129,0,191,8742,Winter,South
190,94,0,185,3804,Festival,East
95,168,11,76,3220,Summer,East
84,171,19,76,1721,Winter,East
183,165,20,178,7974,Winter,North
131,204,14,118,6803,Summer,North
164,124,3,151,4394,Winter,South
96,169,6,85,5025,Festival,East
59,249,15,71,9128,Summer,North
105,178,2,115,6156,Winter,West
79,217,6,70,5812,Festival,East
158,218,28,146,9650,Festival,East
54,311,23,70,9818,Summer,North
168,143,21,156,3456,Summer,East
82,173,5,79,1206,Summer,South
167,113,15,176,2356,Festival,South
114,238,23,125,8461,Winter,North
195,133,7,214,8156,Festival,East
60,297,22,62,9151,Festival,South
134,215,21,124,7522,Summer,East
75,169,5,74,3673,Winter,South
112,155,9,110,2049,Festival,South
135,185,15,150,7823,Summer,East
108,160,10,113,3591,Summer,North
76,249,12,65,7876,Winter,North
147,175,28,150,5004,Winter,North
154,152,5,146,6973,Summer,East
148,228,23,161,9282,Winter,East
178,158,0,186,9667,Winter,East
198,175,20,213,9056,Festival,North
104,191,18,90,3046,Winter,East
55,254,11,64,6307,Summer,North
144,205,23,140,8736,Winter,South
182,156,26,174,4690,Festival,North
151,141,5,154,4266,Winter,North
52,280,29,62,5629,Festival,West
72,212,17,78,3745,Winter,West
102,220,12,102,8023,Winter,North
132,207,6,112,9276,Summer,West
194,127,22,188,3639,Summer,East
134,187,12,116,5936,Winter,West
127,150,20,112,1076,Winter,West
159,157,7,152,7473,Festival,West
50,245,29,67,4504,Festival,North
100,191,20,112,3424,Summer,South
53,252,16,70,7484,Winter,South
162,131,8,149,6296,Winter,South
81,240,19,86,7567,Festival,South
83,235,12,77,7086,Winter,South
141,118,1,134,3221,Winter,South
144,106,3,143,1405,Winter,North
121,199,29,119,3129,Festival,East
88,263,28,100,7834,Festival,East
167,121,24,182,1397,Festival,South
52,200,1,55,4473,Winter,West
172,136,3,161,5989,Festival,West
99,203,17,112,4926,Summer,North
61,163,4,76,2944,Summer,South
103,246,18,118,9629,Festival,South
182,141,9,177,6391,Festival,West
106,215,17,100,6399,Winter,South
194,104,29,191,1222,Festival,South
161,137,24,147,2610,Festival,West
96,232,20,97,8830,Summer,East
134,172,9,145,5604,Summer,East
191,111,4,189,5000,Summer,North
115,175,16,134,3664,Summer,West
124,159,21,104,2065,Festival,North
152,155,12,166,6364,Summer,South
87,241,22,71,6393,Winter,West
99,217,16,90,8102,Winter,East
147,191,8,138,8501,Festival,South
131,163,23,131,1603,Winter,East
79,231,11,77,6130,Summer,East
128,197,13,116,7295,Summer,North
140,202,13,155,9380,Winter,West
101,218,7,112,8103,Festival,West
128,248,22,142,9867,Summer,West
79,149,4,89,1637,Summer,North
155,139,18,166,2844,Winter,East
100,187,27,116,1046,Festival,North
130,145,13,141,1819,Festival,West
182,114,8,198,4807,Winter,South
78,242,29,96,4022,Summer,West
181,78,6,198,2080,Winter,West
187,164,26,196,4146,Winter,East
194,111,25,205,2277,Winter,West
123,233,25,104,7741,Summer,West
66,187,7,56,3217,Summer,East
133,183,13,132,6265,Winter,West
118,175,21,134,3886,Festival,West
83,264,27,71,6634,Winter,East
55,273,13,72,9987,Summer,South
102,182,10,100,4328,Festival,East
175,168,13,194,8293,Festival,West
92,199,20,78,4006,Summer,North
164,136,7,148,7958,Summer,South
160,176,2,163,8972,Winter,East
129,203,27,115,5143,Summer,South
144,188,28,134,6517,Festival,South
167,125,28,155,2218,Winter,North
193,176,22,202,9018,Winter,North
57,286,17,39,9916,Festival,North
181,80,2,182,2344,Summer,West
153,127,12,172,1137,Winter,East
181,115,11,180,5450,Festival,West
74,229,14,85,5906,Festival,East
145,162,17,131,3759,Festival,West
142,111,4,128,1058,Summer,West
110,150,6,109,1770,Summer,North
171,98,10,175,1388,Summer,West
100,216,25,114,4422,Summer,North
196,172,26,199,8012,Festival,East
70,207,10,89,5852,Winter,North
54,228,26,46,1595,Festival,South
141,207,14,159,9627,Winter,South
110,152,9,93,2982,Winter,West
71,274,14,62,9965,Winter,South
198,162,12,194,9209,Summer,East
119,177,13,99,5330,Festival,West
50,258,16,46,6429,Winter,North
182,104,12,163,2692,Festival,West
61,208,9,46,3770,Summer,West
139,203,24,129,5376,Winter,South
95,187,0,92,5926,Summer,West
83,179,0,102,4267,Summer,East
127,233,29,131,8564,Festival,West
94,172,14,112,2695,Winter,North
122,163,15,129,2586,Summer,North
75,202,11,70,5680,Festival,South
96,234,25,87,6447,Winter,West
170,166,23,178,6460,Winter,North
105,214,5,107,8965,Summer,West
143,126,5,143,3268,Summer,West
156,180,11,151,8249,Summer,North
112,247,24,117,8461,Summer,West
97,204,14,113,4486,Winter,South
110,196,3,111,6801,Summer,South
130,177,23,119,3749,Summer,North
75,227,3,61,8785,Summer,East
85,261,29,73,7975,Winter,East
50,182,1,54,2405,Festival,West
57,242,26,51,4575,Festival,South
162,158,23,154,3727,Winter,North
148,188,11,153,7487,Festival,South
96,192,6,96,7291,Winter,East
176,132,19,178,3501,Summer,East
105,166,8,112,1937,Festival,West
63,178,8,80,2755,Winter,North
77,211,7,68,4390,Winter,West
127,183,13,130,6816,Summer,South
179,72,0,171,2216,Winter,South
158,145,22,177,2203,Festival,East
63,223,20,44,2890,Summer,West
105,254,22,123,9582,Winter,South
164,170,11,155,8688,Summer,South
56,265,24,74,7500,Winter,South
52,236,1,45,7716,Festival,North
160,141,12,169,4746,Festival,East
156,218,29,154,9290,Summer,West
67,227,26,77,3195,Winter,South
87,195,3,91,5665,Summer,North
164,200,19,147,8349,Summer,South
64,238,17,56,5398,Festival,South
168,146,18,183,4629,Summer,East
77,247,15,93,8766,Winter,North
88,245,26,70,7147,Festival,South
66,195,13,61,2063,Winter,East
135,251,29,140,9830,Summer,North
175,211,28,194,9743,Festival,South
93,191,7,111,4275,Winter,West
74,183,11,72,1976,Winter,East
194,106,8,188,5069,Summer,South
62,227,5,73,7402,Winter,South
74,197,25,74,1345,Summer,North
117,204,17,97,5942,Summer,West
187,85,1,172,3942,Summer,East
116,236,22,122,8404,Summer,North
158,99,7,160,2076,Festival,South
195,136,23,205,4770,Winter,East
160,163,13,151,6652,Winter,South
160,199,5,160,9424,Festival,South
83,229,9,64,9048,Summer,West
160,108,7,144,1450,Summer,South
57,218,29,45,1350,Summer,East
162,165,16,161,5004,Summer,South
132,192,24,129,5678,Festival,East
91,206,28,92,1244,Winter,West
150,160,11,137,5645,Summer,South
55,232,16,68,5734,Summer,North
75,180,12,63,1440,Summer,East
113,219,18,99,6915,Winter,South
108,155,11,117,1411,Winter,North
158,119,15,155,1813,Festival,East
170,194,24,176,5678,Winter,North
82,233,26,77,2730,Winter,South
199,128,4,199,7643,Summer,West
70,208,24,54,2974,Winter,West
119,140,15,127,1549,Summer,North
161,145,24,177,2937,Festival,South
53,178,5,54,1203,Summer,South
143,143,10,136,4588,Festival,East
124,208,16,122,8083,Winter,South
111,176,25,125,3536,Festival,West
143,175,22,146,6788,Summer,South
144,203,13,129,9298,Winter,East
104,190,5,86,4811,Winter,East
186,120,24,199,3701,Summer,South
180,186,22,161,8825,Winter,South
80,263,29,74,6974,Summer,East
89,235,27,105,4936,Festival,East
85,197,10,79,5090,Festival,North
55,246,11,66,7956,Winter,West
115,173,12,115,3546,Summer,West
124,134,3,120,4736,Summer,North
53,200,6,66,2672,Festival,North
128,105,1,139,1401,Summer,West
183,163,5,185,9793,Winter,East
167,141,5,181,5313,Winter,West
162,171,17,178,7352,Festival,East
143,234,29,159,9479,Summer,West
111,155,19,123,1087,Winter,East
128,215,7,132,8146,Winter,West
185,137,7,201,7279,Winter,North
75,226,28,94,3205,Summer,South
93,178,7,93,3967,Festival,South
182,134,7,199,5250,Festival,South
119,143,0,138,4534,Winter,East
167,170,1,180,9411,Festival,South
117,163,11,115,4238,Winter,West
68,260,14,74,9513,Winter,South
69,191,3,57,3738,Summer,East
162,195,27,146,5936,Winter,East
189,121,24,173,2836,Winter,East
96,158,2,100,3559,Summer,West
50,218,13,55,2568,Summer,East
139,187,21,137,5720,Festival,West
191,187,22,200,8957,Summer,East
113,202,7,128,9544,Winter,North
87,219,12,82,7525,Summer,East
86,263,22,72,8935,Summer,South
175,192,18,172,9221,Festival,South
188,175,21,188,8514,Summer,North
149,170,4,159,8065,Winter,East
126,206,12,106,7737,Winter,South
52,235,27,34,3540,Winter,South
183,157,25,193,4819,Summer,West
59,298,19,63,9686,Summer,West
54,243,0,41,9023,Winter,East
187,90,15,167,1834,Summer,North
179,166,29,165,4324,Festival,East
62,239,28,48,1629,Festival,West
179,142,22,166,3986,Festival,West
133,222,23,131,9221,Festival,East
114,201,1,110,9079,Winter,East
