price,units_sold,discount,competitor_price,marketing_spend,price_diff,discount_pct,season_Summer,season_Winter,region_North,region_South,region_West
58,274,13,56,9292,2,22.413793103448278,False,False,True,False,False
137,146,9,117,4532,20,6.569343065693431,False,False,False,True,False
178,97,11,184,3816,-6,6.179775280898876,False,False,True,False,False
185,153,15,199,7411,-14,8.108108108108109,True,False,False,False,False
112,157,14,96,1407,16,12.5,True,False,True,False,False
188,159,9,205,8204,-17,4.787234042553192,True,False,False,True,False
130,132,3,113,3515,17,2.307692307692308,False,True,True,False,False
185,210,26,181,9133,4,14.054054054054054,False,False,True,False,False
82,204,22,82,2739,0,26.82926829268293,False,False,False,False,False
172,173,28,182,5052,-10,16.27906976744186,False,False,True,False,False
54,192,8,55,1258,-1,14.814814814814813,True,False,False,True,False
90,265,20,80,9700,10,22.22222222222222,True,False,True,False,False
77,243,19,90,6786,-13,24.675324675324674,False,False,False,False,True
184,131,8,178,4683,6,4.3478260869565215,False,True,True,False,False
121,183,20,110,5720,11,16.528925619834713,True,False,False,False,True
61,246,24,78,4726,-17,39.34426229508197,False,False,False,True,False
82,178,23,93,1678,-11,28.04878048780488,False,False,False,False,True
97,237,19,107,9459,-10,19.587628865979383,False,False,False,False,True
111,201,10,127,7126,-16,9.00900900900901,False,True,False,False,True
86,205,10,93,5906,-7,11.627906976744185,False,False,False,False,True
148,203,6,158,8898,-10,4.054054054054054,True,False,False,False,True
153,137,20,138,2200,15,13.071895424836603,False,True,True,False,False
84,225,9,77,6355,7,10.714285714285714,False,True,False,False,False
150,107,3,152,2116,-2,2.0,False,False,False,False,True
180,125,4,175,7344,5,2.2222222222222223,True,False,False,True,False
50,219,4,54,6930,-4,8.0,True,False,False,True,False
54,183,10,72,2058,-18,18.51851851851852,False,False,True,False,False
191,149,8,172,8284,19,4.18848167539267,False,False,False,False,False
152,165,27,169,1687,-17,17.763157894736842,True,False,False,False,False
76,225,15,94,6577,-18,19.736842105263158,False,True,False,False,True
186,141,8,199,6590,-13,4.301075268817205,False,True,False,True,False
64,280,21,83,9152,-19,32.8125,False,False,False,True,False
139,216,29,143,8063,-4,20.863309352517987,False,False,True,False,False
91,236,3,106,9979,-15,3.296703296703297,True,False,False,False,True
173,173,1,168,9395,5,0.5780346820809248,True,False,False,True,False
112,170,13,109,3491,3,11.607142857142858,True,False,False,False,True
145,154,2,137,5822,8,1.3793103448275863,True,False,False,False,False
101,236,17,117,8004,-16,16.831683168316832,False,False,False,False,True
145,207,20,151,8011,-6,13.793103448275861,False,False,False,False,True
181,124,5,194,6700,-13,2.7624309392265194,True,False,True,False,False
192,129,10,182,5862,10,5.208333333333334,False,False,True,False,False
78,226,20,58,6350,20,25.64102564102564,False,False,False,False,False
85,183,17,77,1355,8,20.0,True,False,False,False,False
62,230,11,71,4472,-9,17.741935483870968,False,True,False,False,True
120,224,4,104,9432,16,3.3333333333333335,False,True,False,True,False
135,184,8,132,8710,3,5.9259259259259265,True,False,False,False,True
77,278,19,70,9812,7,24.675324675324674,False,True,False,False,False
115,173,27,107,1854,8,23.47826086956522,False,False,True,False,False
94,249,25,105,7363,-11,26.595744680851062,False,True,True,False,False
111,241,17,97,7704,14,15.315315315315313,True,False,False,False,False
183,144,18,170,4624,13,9.836065573770492,True,False,False,False,True
77,200,2,63,6446,14,2.5974025974025974,False,True,False,True,False
77,243,8,72,9573,5,10.38961038961039,False,True,True,False,False
157,150,3,167,7031,-10,1.910828025477707,False,False,False,False,True
93,230,16,99,7182,-6,17.20430107526882,False,True,False,True,False
133,148,16,145,2132,-12,12.030075187969924,False,True,False,False,False
79,200,22,87,3476,-8,27.848101265822784,False,True,False,False,True
124,206,22,111,4135,13,17.741935483870968,False,False,False,True,False
177,112,1,189,3079,-12,0.5649717514124294,False,True,False,False,True
141,127,8,139,1944,2,5.673758865248227,False,False,True,False,False
178,133,8,178,6840,0,4.49438202247191,False,False,False,False,False
170,115,4,170,4962,0,2.3529411764705883,True,False,True,False,False
76,234,14,80,7674,-4,18.421052631578945,True,False,True,False,False
170,100,14,172,1834,-2,8.235294117647058,False,False,False,False,True
165,113,2,155,4750,10,1.2121212121212122,False,False,False,False,False
52,250,18,64,5184,-12,34.61538461538461,False,False,False,False,True
152,215,27,151,8178,1,17.763157894736842,True,False,False,True,False
186,132,2,190,6168,-4,1.0752688172043012,False,False,False,False,False
111,165,5,116,5991,-5,4.504504504504505,True,False,True,False,False
100,208,3,119,9146,-19,3.0,True,False,True,False,False
108,202,23,99,6290,9,21.296296296296298,False,False,True,False,False
167,144,12,178,5238,-11,7.18562874251497,False,False,False,False,True
145,245,26,157,9398,-12,17.93103448275862,False,False,False,False,True
162,181,12,151,9165,11,7.4074074074074066,True,False,False,False,True
111,222,26,94,4534,17,23.423423423423422,False,True,False,False,False
101,176,10,95,3052,6,9.900990099009901,False,False,False,False,False
61,259,4,46,9151,15,6.557377049180328,False,True,False,False,False
88,145,0,94,1028,-6,0.0,False,True,False,False,False
179,184,8,163,9379,16,4.4692737430167595,False,True,False,True,False
180,114,16,164,2860,16,8.88888888888889,False,True,True,False,False
162,208,21,159,8934,3,12.962962962962962,False,True,False,False,True
150,134,0,157,3572,-7,0.0,True,False,False,False,True
162,154,2,176,9051,-14,1.2345679012345678,True,False,False,True,False
130,193,14,131,7128,-1,10.76923076923077,True,False,True,False,False
162,176,25,175,5014,-13,15.432098765432098,False,True,True,False,False
51,243,20,34,5252,17,39.21568627450981,True,False,False,True,False
179,129,25,176,3127,3,13.966480446927374,False,False,False,False,False
103,218,22,108,3707,-5,21.35922330097087,False,True,True,False,False
136,169,29,137,2813,-1,21.323529411764707,False,False,False,False,False
178,160,9,190,8816,-12,5.056179775280898,False,True,False,True,False
196,152,7,189,9351,7,3.571428571428571,False,True,False,False,True
175,181,11,185,9535,-10,6.2857142857142865,False,True,False,False,True
179,193,24,168,9396,11,13.40782122905028,False,True,False,False,True
102,253,21,105,9496,-3,20.588235294117645,False,False,False,False,True
117,220,14,117,9591,0,11.965811965811966,False,True,True,False,False
172,181,26,159,7249,13,15.11627906976744,False,True,False,False,False
194,142,8,205,7485,-11,4.123711340206185,True,False,False,False,True
87,213,23,97,2805,-10,26.436781609195403,False,True,False,False,True
73,260,24,86,6047,-13,32.87671232876712,False,True,False,False,True
118,188,9,120,6540,-2,7.627118644067797,False,True,False,True,False
165,134,19,169,3096,-4,11.515151515151516,False,True,True,False,False
147,148,8,133,6337,14,5.442176870748299,False,True,False,True,False
188,98,14,186,2459,2,7.446808510638298,False,True,False,False,False
193,170,22,179,7934,14,11.398963730569948,False,False,False,False,True
146,228,20,133,9422,13,13.698630136986301,False,False,True,False,False
173,130,20,166,4782,7,11.560693641618498,False,True,True,False,False
119,146,0,99,4500,20,0.0,False,False,True,False,False
142,131,1,134,6605,8,0.7042253521126761,True,False,False,True,False
52,266,25,34,7419,18,48.07692307692308,True,False,False,True,False
197,187,18,204,9624,-7,9.137055837563452,False,True,False,True,False
196,177,29,213,8889,-17,14.795918367346939,False,True,False,True,False
139,178,13,133,6238,6,9.352517985611511,False,False,False,False,False
196,95,7,211,2817,-15,3.571428571428571,True,False,False,False,True
197,133,5,179,8570,18,2.5380710659898478,False,True,False,False,True
145,154,11,128,6103,17,7.586206896551724,True,False,False,True,False
101,186,25,85,1617,16,24.752475247524753,False,False,False,True,False
177,221,26,182,9509,-5,14.689265536723164,False,True,False,True,False
88,268,28,92,7285,-4,31.818181818181817,False,True,False,False,False
131,135,14,120,1456,11,10.687022900763358,False,True,False,False,False
153,113,13,140,1500,13,8.49673202614379,True,False,True,False,False
178,199,20,169,9074,9,11.235955056179774,False,False,False,False,True
60,226,28,42,3315,18,46.666666666666664,True,False,False,True,False
91,185,0,97,4874,-6,0.0,True,False,True,False,False
148,206,27,150,7630,-2,18.243243243243242,False,True,False,False,True
56,220,10,75,5973,-19,17.857142857142858,False,False,True,False,False
193,139,27,205,5774,-12,13.989637305699482,False,False,False,False,False
139,173,24,132,2003,7,17.26618705035971,False,True,False,False,False
161,151,2,163,7848,-2,1.2422360248447204,False,False,True,False,False
109,191,18,119,5196,-10,16.51376146788991,False,True,True,False,False
162,181,17,154,7715,8,10.493827160493826,False,True,False,False,True
51,212,19,42,2066,9,37.254901960784316,False,False,False,True,False
178,163,27,192,5716,-14,15.168539325842698,False,False,False,False,True
97,195,1,94,7608,3,1.0309278350515463,False,False,False,False,True
189,147,28,189,4234,0,14.814814814814813,False,False,False,False,False
86,261,24,66,7494,20,27.906976744186046,True,False,False,False,False
58,247,27,75,5498,-17,46.55172413793103,False,True,True,False,False
148,207,25,136,6267,12,16.89189189189189,False,True,False,False,False
196,117,6,198,7171,-2,3.061224489795918,False,True,False,False,True
97,229,7,90,9095,7,7.216494845360824,False,True,True,False,False
180,138,18,170,4669,10,10.0,True,False,True,False,False
197,133,21,183,5715,14,10.65989847715736,False,False,False,False,False
103,227,14,113,7069,-10,13.592233009708737,False,False,False,True,False
169,104,9,172,2961,-3,5.325443786982249,False,False,False,False,False
165,142,21,170,1875,-5,12.727272727272727,False,True,True,False,False
124,260,28,133,9734,-9,22.58064516129032,True,False,True,False,False
162,108,0,175,4516,-13,0.0,True,False,False,True,False
153,124,5,170,4865,-17,3.2679738562091507,False,False,False,False,True
133,183,12,117,5499,16,9.022556390977442,False,True,True,False,False
161,168,13,145,8233,16,8.074534161490684,False,False,False,True,False
148,153,2,146,6947,2,1.3513513513513513,False,True,False,False,True
142,129,10,159,1574,-17,7.042253521126761,False,False,False,False,False
195,77,2,202,2458,-7,1.0256410256410255,False,False,False,True,False
177,176,18,182,8395,-5,10.16949152542373,True,False,False,False,True
159,125,9,161,4172,-2,5.660377358490567,False,True,True,False,False
131,189,26,140,3470,-9,19.84732824427481,True,False,True,False,False
103,171,14,85,4427,18,13.592233009708737,True,False,False,True,False
117,216,10,124,8798,-7,8.547008547008547,False,False,False,False,False
82,236,14,94,8736,-12,17.073170731707318,False,True,False,True,False
191,140,25,173,5206,18,13.089005235602095,False,True,True,False,False
70,231,26,54,3200,16,37.142857142857146,False,False,False,False,True
97,200,23,95,3964,2,23.711340206185564,False,False,False,False,False
197,157,12,177,7905,20,6.091370558375635,False,False,False,False,True
177,116,4,194,4313,-17,2.2598870056497176,False,True,False,True,False
185,90,3,173,3927,12,1.6216216216216217,False,False,False,True,False
184,173,12,168,9873,16,6.521739130434782,False,False,False,False,True
194,144,8,207,9470,-13,4.123711340206185,True,False,False,False,True
177,165,24,193,5458,-16,13.559322033898304,False,False,False,False,True
82,208,16,94,2648,-12,19.51219512195122,False,False,False,True,False
164,124,1,168,6527,-4,0.6097560975609756,False,True,False,False,True
168,205,23,176,9184,-8,13.690476190476192,False,False,True,False,False
71,187,4,75,3341,-4,5.633802816901409,False,True,False,False,True
87,173,15,75,2518,12,17.24137931034483,True,False,True,False,False
158,103,6,140,2838,18,3.79746835443038,True,False,True,False,False
100,120,0,94,1870,6,0.0,False,True,False,False,True
57,279,27,40,6538,17,47.368421052631575,False,False,False,False,False
76,250,25,93,6477,-17,32.89473684210527,False,True,False,False,False
76,175,11,75,2128,1,14.473684210526317,False,False,False,False,False
70,279,20,72,7499,-2,28.57142857142857,False,False,True,False,False
79,161,10,95,2284,-16,12.658227848101266,False,False,False,False,False
146,215,11,133,9762,13,7.534246575342466,False,True,False,False,False
77,191,18,93,3864,-16,23.376623376623375,True,False,False,False,True
160,187,25,172,7045,-12,15.625,False,True,False,True,False
110,146,11,122,2977,-12,10.0,False,False,True,False,False
97,232,11,83,9638,14,11.34020618556701,False,True,False,True,False
196,124,13,197,6039,-1,6.63265306122449,True,False,True,False,False
53,232,1,37,8039,16,1.8867924528301887,False,True,True,False,False
84,235,1,78,9828,6,1.1904761904761905,True,False,False,False,False
98,218,24,98,3973,0,24.489795918367346,True,False,False,False,True
66,258,28,70,5626,-4,42.42424242424242,False,False,False,True,False
95,144,3,91,1118,4,3.1578947368421053,True,False,False,True,False
166,210,19,152,8999,14,11.44578313253012,False,True,False,False,False
55,225,22,53,3292,2,40.0,False,True,False,True,False
148,171,25,134,3104,14,16.89189189189189,False,False,False,True,False
173,137,15,192,2067,-19,8.670520231213873,False,True,True,False,False
86,181,9,89,1423,-3,10.465116279069768,False,False,False,False,True
73,230,12,63,4819,10,16.43835616438356,False,True,False,False,True
142,182,1,122,8703,20,0.7042253521126761,False,True,False,True,False
95,162,2,106,2280,-11,2.1052631578947367,True,False,False,True,False
144,160,18,163,4432,-19,12.5,True,False,True,False,False
148,108,5,129,1762,19,3.3783783783783785,True,False,False,False,False
165,128,18,159,2629,6,10.909090909090908,False,True,True,False,False
116,217,26,116,6499,0,22.413793103448278,False,False,False,False,False
177,196,20,180,9634,-3,11.299435028248588,False,False,False,False,False
67,219,19,63,4014,4,28.35820895522388,False,False,True,False,False
74,202,18,62,2497,12,24.324324324324326,True,False,False,False,True
103,210,7,117,9280,-14,6.796116504854369,False,True,True,False,False
107,231,13,106,9653,1,12.149532710280374,True,False,False,False,False
116,183,9,114,4552,2,7.758620689655173,False,True,False,False,True
153,169,2,150,8637,3,1.3071895424836601,False,True,False,False,True
73,260,5,72,9571,1,6.8493150684931505,False,True,True,False,False
163,174,28,172,5496,-9,17.177914110429448,True,False,False,False,True
81,217,14,100,5646,-19,17.28395061728395,False,True,False,False,True
135,177,22,115,3983,20,16.296296296296298,True,False,True,False,False
176,141,22,179,4060,-3,12.5,True,False,False,True,False
179,165,17,182,8834,-3,9.497206703910614,False,True,False,False,True
66,256,13,64,7804,2,19.696969696969695,False,True,True,False,False
153,188,18,162,8510,-9,11.76470588235294,False,True,True,False,False
186,144,27,191,3950,-5,14.516129032258066,True,False,False,True,False
92,210,25,109,5540,-17,27.173913043478258,False,True,False,False,True
88,225,9,96,8418,-8,10.227272727272728,False,True,False,False,False
75,237,14,67,7063,8,18.666666666666668,False,False,False,False,False
148,179,3,131,8661,17,2.027027027027027,False,False,False,False,True
99,196,22,95,4421,4,22.22222222222222,False,False,False,False,True
62,173,1,74,2990,-12,1.6129032258064515,False,True,True,False,False
109,183,2,93,4856,16,1.834862385321101,True,False,True,False,False
184,109,6,191,2482,-7,3.260869565217391,False,False,False,False,False
106,199,22,109,3545,-3,20.754716981132077,True,False,False,False,True
85,226,15,81,5220,4,17.647058823529413,False,False,True,False,False
69,175,9,87,1642,-18,13.043478260869565,False,False,False,False,False
114,200,18,133,4918,-19,15.789473684210526,True,False,False,False,False
57,240,27,47,2586,10,47.368421052631575,False,False,False,True,False
193,102,16,184,3409,9,8.290155440414509,True,False,False,False,True
191,178,27,183,7504,8,14.136125654450263,False,True,False,True,False
164,112,18,151,1054,13,10.975609756097562,False,True,True,False,False
192,76,4,172,1841,20,2.083333333333333,True,False,True,False,False
141,205,22,129,7928,12,15.602836879432624,True,False,False,False,False
147,161,19,154,5587,-7,12.925170068027212,False,True,True,False,False
115,171,12,96,3906,19,10.434782608695652,True,False,False,True,False
81,228,12,74,6088,7,14.814814814814813,False,True,False,False,True
135,180,10,127,6056,8,7.4074074074074066,False,True,False,False,False
100,192,10,81,6982,19,10.0,True,False,False,False,False
112,174,15,95,3272,17,13.392857142857142,False,False,True,False,False
174,167,14,165,7141,9,8.045977011494253,True,False,False,False,False
199,164,16,188,9015,11,8.040201005025125,False,True,False,False,False
107,257,21,89,9294,18,19.626168224299064,False,False,False,False,True
107,155,17,90,2071,17,15.887850467289718,False,False,False,False,False
135,151,27,120,1736,15,20.0,False,True,False,False,True
98,237,18,100,7376,-2,18.367346938775512,False,False,False,True,False
119,194,3,103,8749,16,2.5210084033613445,False,False,False,False,False
64,248,21,46,4630,18,32.8125,True,False,False,True,False
103,174,21,92,1227,11,20.388349514563107,False,True,False,False,True
150,191,22,148,7665,2,14.666666666666666,False,False,False,False,False
57,220,4,50,6711,7,7.017543859649122,False,True,True,False,False
102,183,6,102,7156,0,5.88235294117647,True,False,True,False,False
109,167,1,116,4570,-7,0.9174311926605505,True,False,False,False,False
157,169,0,157,9636,0,0.0,True,False,False,False,True
54,277,11,69,8993,-15,20.37037037037037,False,False,True,False,False
152,125,9,155,2619,-3,5.921052631578947,True,False,False,True,False
55,203,7,72,3204,-17,12.727272727272727,False,True,False,False,True
158,118,0,154,3703,4,0.0,True,False,False,False,True
165,176,11,166,8742,-1,6.666666666666667,False,False,False,False,False
143,170,1,141,8574,2,0.6993006993006993,True,False,False,True,False
96,193,26,85,1797,11,27.083333333333332,False,False,False,False,True
148,184,27,138,3999,10,18.243243243243242,False,True,False,False,False
104,163,9,121,3764,-17,8.653846153846153,True,False,False,True,False
101,217,21,82,4684,19,20.792079207920793,True,False,False,False,True
193,170,16,205,9199,-12,8.290155440414509,False,True,True,False,False
62,268,25,72,7239,-10,40.32258064516129,False,True,False,True,False
163,124,2,177,4874,-14,1.2269938650306749,False,False,False,False,True
173,128,6,189,4329,-16,3.4682080924855487,True,False,False,True,False
155,180,11,170,7069,-15,7.096774193548387,True,False,True,False,False
196,126,7,198,6584,-2,3.571428571428571,True,False,False,False,True
194,187,19,209,9805,-15,9.793814432989691,True,False,True,False,False
169,186,11,188,9880,-19,6.508875739644971,False,True,False,False,False
112,201,2,130,9301,-18,1.7857142857142856,True,False,False,False,False
68,203,16,73,2160,-5,23.52941176470588,True,False,False,False,True
141,182,27,145,4610,-4,19.148936170212767,True,False,False,False,True
107,177,8,103,5744,4,7.476635514018691,False,False,False,True,False
139,185,9,133,8331,6,6.474820143884892,False,False,False,False,True
166,122,21,182,3003,-16,12.650602409638553,False,False,False,False,False
111,199,5,94,9035,17,4.504504504504505,False,True,False,False,True
72,235,24,73,2527,-1,33.33333333333333,False,True,False,True,False
176,153,0,172,8318,4,0.0,False,True,False,False,False
186,173,21,187,8234,-1,11.29032258064516,True,False,False,False,True
189,137,11,185,6169,4,5.82010582010582,True,False,True,False,False
178,112,4,171,5610,7,2.247191011235955,False,True,True,False,False
107,222,12,100,7721,7,11.214953271028037,False,False,True,False,False
171,214,26,167,9697,4,15.204678362573098,True,False,True,False,False
50,233,14,37,5250,13,28.000000000000004,False,False,False,True,False
83,248,21,96,7626,-13,25.301204819277107,True,False,True,False,False
145,176,29,150,3855,-5,20.0,True,False,True,False,False
175,138,10,184,4964,-9,5.714285714285714,False,False,False,False,True
167,168,7,168,8935,-1,4.191616766467066,False,True,True,False,False
97,141,4,92,2674,5,4.123711340206185,False,False,True,False,False
138,121,1,147,3392,-9,0.7246376811594203,False,True,False,False,True
166,160,11,161,7878,5,6.626506024096386,False,True,False,False,False
178,126,27,195,2921,-17,15.168539325842698,True,False,False,True,False
65,196,1,68,5433,-3,1.5384615384615385,True,False,False,True,False
118,162,25,133,2827,-15,21.1864406779661,True,False,False,False,False
71,181,15,85,1716,-14,21.12676056338028,False,True,False,False,True
142,144,20,127,1630,15,14.084507042253522,False,True,False,False,False
125,167,2,108,5860,17,1.6,False,False,False,True,False
193,161,9,190,9276,3,4.66321243523316,True,False,False,True,False
135,185,18,120,4768,15,13.333333333333334,True,False,False,False,False
78,262,7,83,9928,-5,8.974358974358974,False,True,True,False,False
118,144,6,134,3707,-16,5.084745762711865,True,False,False,True,False
96,203,0,102,9418,-6,0.0,False,True,False,False,False
143,151,11,133,4357,10,7.6923076923076925,False,False,True,False,False
193,195,28,210,8860,-17,14.507772020725387,False,False,True,False,False
134,190,27,129,5204,5,20.149253731343283,True,False,False,False,True
88,192,4,86,5230,2,4.545454545454546,False,False,False,False,False
149,189,15,143,6033,6,10.06711409395973,True,False,False,True,False
82,222,24,87,5386,-5,29.268292682926827,True,False,False,False,True
150,177,3,160,9157,-10,2.0,False,True,False,True,False
72,271,16,70,8675,2,22.22222222222222,False,True,True,False,False
59,225,23,62,2867,-3,38.983050847457626,True,False,False,False,False
118,229,20,106,7965,12,16.94915254237288,False,False,True,False,False
149,173,1,151,8196,-2,0.6711409395973155,False,False,True,False,False
83,162,11,66,1026,17,13.253012048192772,True,False,True,False,False
187,111,0,176,7156,11,0.0,True,False,False,False,False
196,176,29,184,7588,12,14.795918367346939,False,False,False,False,True
145,162,11,143,6767,2,7.586206896551724,False,False,False,True,False
50,191,11,44,1466,6,22.0,False,True,True,False,False
118,218,11,131,8689,-13,9.322033898305085,False,True,False,True,False
53,232,18,51,3700,2,33.9622641509434,False,False,False,True,False
65,304,24,65,9809,0,36.92307692307693,False,True,False,False,True
73,223,16,86,4777,-13,21.91780821917808,False,True,False,False,False
129,163,19,125,3687,4,14.728682170542637,True,False,False,True,False
51,258,23,48,6332,3,45.09803921568628,False,True,False,False,True
177,188,23,173,7806,4,12.994350282485875,False,True,False,True,False
133,206,25,114,6056,19,18.796992481203006,True,False,True,False,False
189,112,27,169,1179,20,14.285714285714285,False,False,False,False,True
173,174,10,162,8996,11,5.780346820809249,False,True,False,False,False
82,215,12,98,6464,-16,14.634146341463413,False,True,False,False,False
150,184,26,134,7720,16,17.333333333333336,False,False,True,False,False
61,194,7,52,1921,9,11.475409836065573,False,True,True,False,False
116,172,9,131,4092,-15,7.758620689655173,False,False,False,True,False
114,187,7,124,6527,-10,6.140350877192982,True,False,False,False,True
123,215,19,140,8465,-17,15.447154471544716,False,False,False,False,True
92,175,7,80,3719,12,7.608695652173914,False,False,False,False,True
93,215,8,98,9113,-5,8.60215053763441,False,False,False,False,True
78,162,6,72,1151,6,7.6923076923076925,True,False,False,True,False
190,146,13,185,9204,5,6.842105263157896,False,False,False,False,True
61,305,27,53,9906,8,44.26229508196721,False,False,False,False,True
144,125,1,148,4625,-4,0.6944444444444444,True,False,False,False,False
95,264,24,104,9440,-9,25.263157894736842,False,True,False,False,False
179,86,10,165,2144,14,5.58659217877095,False,True,False,True,False
84,216,7,67,5482,17,8.333333333333332,False,False,True,False,False
130,178,12,149,5534,-19,9.230769230769232,True,False,False,False,False
139,139,20,156,1720,-17,14.388489208633093,True,False,True,False,False
57,236,14,66,5568,-9,24.561403508771928,False,False,False,True,False
142,198,27,131,4229,11,19.014084507042252,False,False,False,False,False
139,103,2,148,2006,-9,1.4388489208633095,False,True,False,False,False
164,158,22,182,5728,-18,13.414634146341465,False,True,False,True,False
154,172,13,140,8099,14,8.441558441558442,False,False,False,False,True
184,185,29,199,8116,-15,15.760869565217392,True,False,False,True,False
107,205,14,121,4813,-14,13.084112149532709,False,False,True,False,False
163,81,1,166,1537,-3,0.6134969325153374,True,False,True,False,False
124,189,28,142,3685,-18,22.58064516129032,False,True,False,False,True
169,132,18,184,2980,-15,10.650887573964498,False,False,False,True,False
70,234,11,69,6906,1,15.714285714285714,True,False,False,True,False
187,123,24,198,1539,-11,12.834224598930483,False,True,False,False,True
150,206,19,168,8046,-18,12.666666666666668,False,False,False,True,False
148,173,3,153,8261,-5,2.027027027027027,False,False,False,False,False
85,230,2,90,9675,-5,2.3529411764705883,False,True,False,True,False
